雌火龙	雌火龍	リオレイア	Rathian
雌火龙（历战个体）	雌火龍（歷戰個體）	リオレイア（歴戦の個体）	Tempered Rathian
火龙	火龍	リオレウス	Rathalos
火龙（历战个体）	火龍（歷戰個體）	リオレウス（歴戦の個体）	Tempered Rathalos
护火龙	護火龍	護竜リオレウス	Guardian Rathalos
护火龙（历战个体）	護火龍（歷戰個體）	護竜リオレウス（歴戦の個体）	Tempered Guardian Rathalos
铠龙	鎧龍	グラビモス	Gravios
铠龙（历战个体）	鎧龍（歷戰個體）	グラビモス（歴戦の個体）	Tempered Gravios
怪鸟	怪鳥	イャンクック	Yian Kut-Ku
怪鸟（历战个体）	怪鳥（歷戰個體）	イャンクック（歴戦の個体）	Tempered Yian Kut-Ku
狂龙化怪鸟	狂龍化怪鳥	狂竜化イャンクック	Frenzied Yian Kut-Ku
毒怪鸟	毒怪鳥	ゲリョス	Gypceros
毒怪鸟（历战个体）	毒怪鳥（歷戰個體）	ゲリョス（歴戦の個体）	Tempered Gypceros
狂龙化毒怪鸟	狂龍化毒怪鳥	狂竜化ゲリョス	Frenzied Gypceros
桃毛兽王	桃毛獸王	ババコンガ	Congalala
桃毛兽王（历战个体）	桃毛獸王（歷戰個體）	ババコンガ（歴戦の個体）	Tempered Congalala
雪狮子王	雪獅子王	ドドブランゴ	Blangonga
雪狮子王（历战个体）	雪獅子王（歷戰個體）	ドドブランゴ（歴戦の個体）	Tempered Blangonga
狂龙化雪狮子王	狂龍化雪獅子王	狂竜化ドドブランゴ	Frenzied Blangonga
影蜘蛛	影蜘蛛	ネルスキュラ	Nerscylla
影蜘蛛（历战个体）	影蜘蛛（歷戰個體）	ネルスキュラ（歴戦の個体）	Tempered Nerscylla
狂龙化影蜘蛛	狂龍化影蜘蛛	狂竜化ネルスキュラ	Frenzied Nerscylla
黑蚀龙	黑蝕龍	ゴア・マガラ	Gore Magala
黑蚀龙（历战个体）	黑蝕龍（歷戰個體）	ゴア・マガラ（歴戦の個体）	Tempered Gore Magala
护雷颚龙	護雷顎龍	護竜アンジャナフ亜種	Guardian Fulgur Anjanath
护雷颚龙（历战个体）	護雷顎龍（歷戰個體）	護竜アンジャナフ亜種（歴戦の個体）	Tempered Guardian Fulgur Anjanath
护凶爪龙	護兇爪龍	護竜オドガロン亜種	Guardian Ebony Odogaron
护凶爪龙（历战个体）	護兇爪龍（歷戰個體）	護竜オドガロン亜種（歴戦の個体）	Tempered Guardian Ebony Odogaron
辟兽（首领）	闢獸（頭領）	ドシャグマ（ボス個体）	Alpha Doshaguma
辟兽	闢獸	ドシャグマ	Doshaguma
辟兽（历战个体）	闢獸（歷戰個體）	ドシャグマ（歴戦の個体）	Tempered Doshaguma
护辟兽	護闢獸	護竜ドシャグマ	Guardian Doshaguma
护辟兽（历战个体）	護闢獸（歷戰個體）	護竜ドシャグマ（歴戦の個体）	Tempered Guardian Doshaguma
沙海龙	沙海龍	バーラハーラ	Balahara
沙海龙（历战个体）	沙海龍（歷戰個體）	バーラハーラ（歴戦の個体）	Tempered Balahara
缠蛙	纏蛙	チャタカブラ	Chatacabra
缠蛙（历战个体）	纏蛙（歷戰個體）	チャタカブラ（歴戦の個体）	Tempered Chatacabra
炎尾龙	炎尾龍	ケマトリス	Quematrice
炎尾龙（历战个体）	炎尾龍（歷戰個體）	ケマトリス（歴戦の個体）	Tempered Quematrice
刺花蜘蛛	刺花蜘蛛	ラバラ・バリナ	Lala Barina
刺花蜘蛛（历战个体）	刺花蜘蛛（歷戰個體）	ラバラ・バリナ（歴戦の個体）	Tempered Lala Barina
沼喷龙	沼噴龍	ププロポル	Rompopolo
沼喷龙（历战个体）	沼噴龍（歷戰個體）	ププロポル（歴戦の個体）	Tempered Rompopolo
煌雷龙	煌雷龍	レ・ダウ	Rey Dau
煌雷龙（历战个体）	煌雷龍（歷戰個體）	レ・ダウ（歴戦の個体）	Tempered Rey Dau
波衣龙	波衣龍	ウズ・トゥナ	Uth Duna
波衣龙（历战个体）	波衣龍（歷戰個體）	ウズ・トゥナ（歴戦の個体）	Tempered Uth Duna
