古坑升降机	古坑升降機	古坑の昇降機	Pit Elevator
被束缚的兽人族	被綁住的獸人族	がんじがらめの獣人族	Bound Lynian
兽人族留下的礼物	獸人族留下的禮物	獣人族の置き土産	Lynian's Parting Gift
启动杆	控制桿	起動レバー	Activation Lever
快崩塌的柱子	快崩塌的柱子	壊れそうな柱	Crumbling Pillar
棘草果实	棘草果實	トゲ草の実	Thorngrass Pod
爆裂石	爆裂石	ハジケ石	Rockburst
引雷石	引雷石	吸雷石	Grounding Stone
种火石	種火石	種火石	Sparkflint
水球苔	水球苔	ミズタマリゴケ	Watermoss
冻结酸浆	凍結鬼燈	イテツキホオズキ	Frostlantern
雷鸣石	雷鳴石	雷鳴石	Thundercryst
破龙石	破龍石	破龍石	Wyrmsbane
毒液结晶	毒液結晶	毒液の結晶	Crystalized Venom
沙胡椒果实	沙胡椒果實	沙胡椒の実	Sandpepper
矿脉	礦脈	鉱脈	Mining Outcrop
骨冢	骨塚	骨塚	Bonepile
天堑芦荟	天塹蘆薈	ヘダテアロエ	Windward Succulent
巨大天堑芦荟	巨大天塹蘆薈	巨大なヘダテアロエ	Giant Windward Succulent
苍雷晶结晶	蒼雷晶結晶	蒼雷晶の結晶	Fulgurite Crystal
巨大苍雷晶	巨大蒼雷晶	巨大な蒼雷晶	Fulgurite Vein
美丽化石	美麗化石	きれいな化石	Exquisite Fossil
壮丽化石	壯觀化石	壮麗な化石	Magnificent Fossil
虫珀	蟲珀	虫入りの琥珀	Amber Deposit
巨大琥珀	巨大琥珀	巨大な琥珀	Colossal Amber
老旧宝物	古老寶物	古びたオタカラ	Weathered Treasure
大型宝物	巨大寶物	大きなオタカラ	Bountiful Treasure
古代遗物	古代遺物	古代の遺物	Ancient Relic
壮丽的古代遗物	壯觀古代遺物	壮麗な古代の遺物	Remarkable Relic
美丽的水栖生物	美麗水棲生物	きれいな水棲生物	Beautiful Aquatica
酒杯状藻类	酒杯狀藻類	グラス状の藻類	Glass Algae
风铗龙的旧壳	風鋏龍的褪殼	風鋏竜の抜け殻	Hirabami Molting
神秘水果	神秘水果	不思議な果物	Mysterious Fruit
莹白色玉石	輝白色玉石	輝白色の玉石	Whitegleam Gemstone
黄金油	黃金油	黄金オイル	Auric Oil
乳白色玉石	乳白色玉石	乳白色の玉石	Wylky Gemstone
乳白色结晶块	乳白色結晶塊	乳白色の晶出塊	Wylky Crystal Outcrop
茧丝	繭纖維	繭の繊維	Cocoon Fiber
女王大花草	女皇大花	クイーンラフレシア	Queen Rafflesia
一夜花	月下美人	儚げな花	Ephemeral Blossom
焦黑的骨化石	黝黑骨化石	黒ずんだ骨の化石	Blackened Fossil
骸晶化矿物	骸晶化礦物	骸晶化した鉱物	Hopper Crystal Ore
巨大骸晶化矿物	骸晶化巨大礦物	骸晶化した巨大な鉱物	Giant Hopper Crystal
落石	落石	落石	Falling Boulders
巨大落石	巨大落石	巨大な落石	Giant Falling Boulder
家畜栅栏	家畜柵欄	家畜の柵	Livestock Fence
苍雷晶柱	蒼雷晶柱	蒼雷晶の柱	Fulgurite Pillar
引雷岩	引雷岩	吸雷岩	Grounding Pillar
草丛	草叢	茂み	Brush
回复露草	回復露草	回復ツユクサ	Vitalily
毒蔓草	毒蔓草	ドクカズラ	Poisoncup
大型流沙	大型流沙	大流砂	Giant Sand Pit
流沙	流沙	流砂	Quicksand
落雷多发地点	落雷頻發地點	落雷多発地点	Lightning Prone Area
