---	---	---	---
回复药	回復藥	回復薬	Potion
回复药G	回復藥・大	回復薬グレート	Mega Potion
解毒药	解毒藥	解毒薬	Antidote
秘药	秘藥	秘薬	Max Potion
远古秘药	古老秘藥	いにしえの秘薬	Ancient Potion
打消果实	打消果實	ウチケシの実	Nulberry
携带食料	隨身食物	携帯食料	Ration
烤熟的肉	全熟肉	こんがり肉	Well-done Steak
半生肉	半熟肉	生焼け肉	Rare Steak
生命粉尘	生命粉塵	生命の粉塵	Lifepowder
烤焦的肉	烤焦肉	コゲ肉	Burnt Meat
投射器闪光弹	投射器閃光彈	スリンガー閃光弾	Flash Pod
投射器音爆弹	投射器音爆彈	スリンガー音爆弾	Screamer Pod
投射器裂伤弹	投射器裂傷彈	スリンガー裂傷弾	Bleeding Pod
投射器异臭弹	投射器異臭彈	スリンガーこやし弾	Dung Pod
药草	藥草	薬草	Herb
大桶爆弹	大爆彈桶	大タル爆弾	Large Barrel Bomb
小桶爆弹	小爆彈桶	小タル爆弾	Barrel Bomb
生肉	生肉	生肉	Raw Meat
石块	石塊	石ころ	Stone
投射器爆裂石	投射器爆裂石	スリンガーハジケ石	Burst Pod
棘草果实	棘草果實	トゲ草の実	Thorngrass Pod
砥石	砥石	砥石	Whetstone
麻痹陷阱	麻痺陷阱	シビレ罠	Shock Trap
回归球	回歸球	モドリ玉	Farcaster
望远镜	望遠鏡	双眼鏡	Binoculars
设营工具	設營工具組合	キャンプ設営キット	Camping Kit
便携营火炉	便攜式營火爐	携帯焚き火台	Portable BBQ Grill
解毒草	解毒草	げどく草	Antidote Herb
常春藤叶	常春藤葉	ツタの葉	Ivy
蜂蜜	蜂蜜	ハチミツ	Honey
曼陀罗	風茄	マンドラゴラ	Mandragora
蓝蘑菇	青菇	アオキノコ	Blue Mushroom
心跳加速菇	心跳加速菇	ドキドキノコ	Exciteshroom
烟果实	煙果實	ケムリの実	Smokenut
苦虫汁	苦蟲汁	にが虫の苦汁	Bitterbug Broth
光虫荧光素	光蟲發光素	光蟲の発光素	Flashbug Phosphor
落穴陷阱	地洞	落とし穴	Pitfall Trap
捕获用网子	捕獲用網子	捕獲用ネット	Capture Net
不死虫精华	不死蟲萃取液	不死虫のエキス	Godbug Essence
雷光虫蓄电素	雷光蟲蓄電素	雷光虫の蓄電素	Thunderbug Capacitor
陷阱工具	陷阱工具	トラップツール	Trap Tool
辟兽的皮	闢獸的皮	闢獣の皮	Doshaguma Hide
辟兽的毛	闢獸的毛	闢獣の毛	Doshaguma Fur
辟兽的爪	闢獸的爪	闢獣の爪	Doshaguma Claw
辟兽的牙	闢獸的牙	闢獣の牙	Doshaguma Fang
